Epoch [68/4000], Loss_train: 88.7243, PSNR_train: 33.2081, Loss_valid: 51.2352, PSNR_valid: 32.4240, Time_cost: 16.77 seconds
Epoch [69/4000], Loss_train: 88.8335, PSNR_train: 33.2388, Loss_valid: 51.1643, PSNR_valid: 32.4324, Time_cost: 16.91 seconds
Epoch [70/4000], Loss_train: 84.7799, PSNR_train: 33.3337, Loss_valid: 51.0920, PSNR_valid: 32.4411, Time_cost: 16.81 seconds
Epoch [71/4000], Loss_train: 84.3590, PSNR_train: 33.4333, Loss_valid: 51.0233, PSNR_valid: 32.4497, Time_cost: 17.06 seconds
Epoch [72/4000], Loss_train: 91.7574, PSNR_train: 33.1921, Loss_valid: 50.9512, PSNR_valid: 32.4579, Time_cost: 16.88 seconds
Epoch [73/4000], Loss_train: 89.7299, PSNR_train: 33.4747, Loss_valid: 50.8818, PSNR_valid: 32.4659, Time_cost: 16.70 seconds
Epoch [74/4000], Loss_train: 88.8456, PSNR_train: 33.8720, Loss_valid: 50.8135, PSNR_valid: 32.4741, Time_cost: 16.80 seconds
Epoch [75/4000], Loss_train: 83.6288, PSNR_train: 33.4640, Loss_valid: 50.7469, PSNR_valid: 32.4820, Time_cost: 16.87 seconds
Epoch [76/4000], Loss_train: 79.5634, PSNR_train: 33.8767, Loss_valid: 50.6804, PSNR_valid: 32.4898, Time_cost: 16.89 seconds
Epoch [77/4000], Loss_train: 94.9741, PSNR_train: 33.0476, Loss_valid: 50.6152, PSNR_valid: 32.4972, Time_cost: 16.85 seconds
Epoch [78/4000], Loss_train: 83.8068, PSNR_train: 33.5697, Loss_valid: 50.5519, PSNR_valid: 32.5048, Time_cost: 17.13 seconds
Epoch [79/4000], Loss_train: 91.2695, PSNR_train: 33.4224, Loss_valid: 50.4858, PSNR_valid: 32.5128, Time_cost: 17.13 seconds
Epoch [80/4000], Loss_train: 87.3153, PSNR_train: 33.5702, Loss_valid: 50.4214, PSNR_valid: 32.5207, Time_cost: 17.03 seconds
Epoch [81/4000], Loss_train: 83.7546, PSNR_train: 33.7718, Loss_valid: 50.3574, PSNR_valid: 32.5280, Time_cost: 16.82 seconds
Epoch [82/4000], Loss_train: 83.6253, PSNR_train: 33.5622, Loss_valid: 50.2965, PSNR_valid: 32.5353, Time_cost: 16.91 seconds
Epoch [83/4000], Loss_train: 93.4173, PSNR_train: 33.5939, Loss_valid: 50.2344, PSNR_valid: 32.5425, Time_cost: 16.99 seconds
Epoch [84/4000], Loss_train: 90.5296, PSNR_train: 33.5366, Loss_valid: 50.1730, PSNR_valid: 32.5498, Time_cost: 17.01 seconds
Epoch [85/4000], Loss_train: 87.4616, PSNR_train: 33.4257, Loss_valid: 50.1090, PSNR_valid: 32.5571, Time_cost: 17.05 seconds
Epoch [86/4000], Loss_train: 94.8319, PSNR_train: 33.4423, Loss_valid: 50.0461, PSNR_valid: 32.5644, Time_cost: 17.08 seconds
Epoch [87/4000], Loss_train: 92.2738, PSNR_train: 33.7185, Loss_valid: 49.9839, PSNR_valid: 32.5719, Time_cost: 16.76 seconds
Epoch [88/4000], Loss_train: 84.1805, PSNR_train: 33.7808, Loss_valid: 49.9278, PSNR_valid: 32.5786, Time_cost: 17.00 seconds
Epoch [89/4000], Loss_train: 85.8724, PSNR_train: 33.4548, Loss_valid: 49.8699, PSNR_valid: 32.5851, Time_cost: 16.83 seconds
Epoch [90/4000], Loss_train: 88.0193, PSNR_train: 33.6455, Loss_valid: 49.8122, PSNR_valid: 32.5920, Time_cost: 16.73 seconds
Epoch [91/4000], Loss_train: 86.0455, PSNR_train: 33.7634, Loss_valid: 49.7525, PSNR_valid: 32.5994, Time_cost: 17.00 seconds
Epoch [92/4000], Loss_train: 84.7551, PSNR_train: 33.6136, Loss_valid: 49.6961, PSNR_valid: 32.6062, Time_cost: 16.98 seconds
Epoch [93/4000], Loss_train: 87.3378, PSNR_train: 33.6954, Loss_valid: 49.6426, PSNR_valid: 32.6123, Time_cost: 17.14 seconds
Epoch [94/4000], Loss_train: 90.8633, PSNR_train: 33.6888, Loss_valid: 49.5861, PSNR_valid: 32.6186, Time_cost: 16.99 seconds
Epoch [95/4000], Loss_train: 93.6633, PSNR_train: 33.3238, Loss_valid: 49.5277, PSNR_valid: 32.6259, Time_cost: 17.00 seconds
Epoch [96/4000], Loss_train: 86.4813, PSNR_train: 33.8502, Loss_valid: 49.4718, PSNR_valid: 32.6324, Time_cost: 16.91 seconds
Epoch [97/4000], Loss_train: 84.6967, PSNR_train: 33.9769, Loss_valid: 49.4170, PSNR_valid: 32.6386, Time_cost: 16.85 seconds
Epoch [98/4000], Loss_train: 90.4258, PSNR_train: 33.8190, Loss_valid: 49.3641, PSNR_valid: 32.6449, Time_cost: 16.84 seconds
Epoch [99/4000], Loss_train: 83.0619, PSNR_train: 33.9699, Loss_valid: 49.3087, PSNR_valid: 32.6515, Time_cost: 17.13 seconds
Epoch [100/4000], Loss_train: 85.2353, PSNR_train: 33.8688, Loss_valid: 49.2570, PSNR_valid: 32.6575, Time_cost: 17.03 seconds
Epoch [101/4000], Loss_train: 86.1138, PSNR_train: 33.7428, Loss_valid: 49.2028, PSNR_valid: 32.6638, Time_cost: 17.10 seconds
Epoch [102/4000], Loss_train: 87.9825, PSNR_train: 34.0670, Loss_valid: 49.1538, PSNR_valid: 32.6701, Time_cost: 16.83 seconds
Epoch [103/4000], Loss_train: 87.4778, PSNR_train: 33.7007, Loss_valid: 49.1009, PSNR_valid: 32.6760, Time_cost: 16.85 seconds
Epoch [104/4000], Loss_train: 87.4492, PSNR_train: 33.8956, Loss_valid: 49.0480, PSNR_valid: 32.6822, Time_cost: 16.94 seconds
Epoch [105/4000], Loss_train: 84.8194, PSNR_train: 33.8530, Loss_valid: 48.9926, PSNR_valid: 32.6891, Time_cost: 16.83 seconds
Epoch [106/4000], Loss_train: 87.7069, PSNR_train: 34.0141, Loss_valid: 48.9440, PSNR_valid: 32.6947, Time_cost: 17.07 seconds
